crime,agency,charge_description,date,address,zipcode,city,type
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/14/2021 19:00,2700  BLOCK MAIN STREET,91911,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),3/22/2021 12:00,1100  BLOCK LATIGO COVE,91915,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),6/19/2021 15:47,400  BLOCK OXFORD STREET,91911,CHULA VISTA,Miscellanoues
VANDALISM,ESCONDIDO,VANDALISM [$400 OR LESS] (M),6/19/2021 10:00,2300  BLOCK CAMPBELL PLACE,92027,ESCONDIDO,Miscellanoues
FRAUD,CHULA VISTA,FALSE PERSONATION OF ANOTHER:SPEC CIRC (F),5/22/2021 0:24,BROADWAY & G STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,ESCONDIDO,VANDALISM [$400 OR LESS] (M),6/3/2021 6:30,300 N  BLOCK BROADWAY,92025,ESCONDIDO,Miscellanoues
VANDALISM,EL CAJON,VANDALISM ($400 OR MORE) (F),4/19/2021 12:04,1200 E  BLOCK MAIN STREET,92019,EL CAJON,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/19/2021 16:00,0  BLOCK WOODLAWN AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),7/26/2021 0:01,1100  BLOCK CALLE PILARES,91913,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),5/25/2021 21:51,100  BLOCK GLENHAVEN WAY,91911,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),4/3/2021 17:30,500 W  BLOCK WASHINGTON AVENUE,92025,ESCONDIDO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),6/2/2021 22:30,200  BLOCK WHITNEY STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),5/31/2021 16:30,100  BLOCK LOMAS SANTA FE DRIVE,92075,SOLANA BEACH,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),7/3/2021 17:00,900 N  BLOCK FIG STREET,92026,ESCONDIDO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/13/2021 22:10,1100  BLOCK MONSERATE AVENUE,91911,CHULA VISTA,Miscellanoues
FRAUD,SAN DIEGO,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),4/4/2021 7:45,2000  BLOCK BLUEHAVEN COURT,92154,SOUTH BAY,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),4/14/2021 17:45,800  BLOCK REGULO PLACE,91910,,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),5/26/2021 22:35,100  BLOCK GLOVER AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,FALSE PERSONATION OF ANOTHER:SPEC CIRC (F),5/30/2021 0:25,800  BLOCK RIVERLAWN AVENUE,91911,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),6/3/2021 9:00,900  BLOCK 04TH AVENUE,91911,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,FALSE PERSONATION OF ANOTHER:SPEC CIRC (F),7/19/2021 12:00,1800  BLOCK NIRVANA AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),3/18/2021 10:10,300  BLOCK F STREET,91910,CHULA VISTA,Miscellanoues
