crime,agency,charge_description,date,address,zipcode,city,type
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),5/17/2021 19:00,800  BLOCK ADA STREET,91911,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,USE ACCESS CARD ACCOUNT INFO W/O CONSENT (F),4/4/2021 12:00,1100 N  BLOCK ESCONDIDO BOULEVARD,92026,ESCONDIDO,Miscellanoues
VANDALISM,ESCONDIDO,VANDALISM [$400 OR LESS] (M),6/5/2021 13:47,400 N  BLOCK ASH STREET,92025,ESCONDIDO,Miscellanoues
VANDALISM,CORONADO,Vandalism over $400 Felony,7/4/2021 10:17,1100  BLOCK F AVENUE,92118,CORONADO,Miscellanoues
FRAUD,CORONADO,Fel: ID Theft to obtain credit etc,7/6/2021 14:18,1700  BLOCK AVENIDA DEL MUNDO,92118,CORONADO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),6/12/2021 12:00,700  BLOCK COLORADO AVENUE,91910,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM [$400 OR LESS] (M),6/24/2021 21:15,10100  BLOCK CAMINO RUIZ,92126,SAN DIEGO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),6/15/2021 7:15,600  BLOCK G STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),6/7/2021 9:30,3300  BLOCK BLK ANCURZA WAY,91911,,Miscellanoues
VANDALISM,CORONADO,Misd: Vandalism under $400,4/24/2021 13:05,600  BLOCK 06TH STREET,92118,CORONADO,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),5/14/2021 7:50,1100  BLOCK LA TORTUGA DRIVE,92081,VISTA,Miscellanoues
VANDALISM,EL CAJON,VANDALISM ($400 OR MORE) (F),4/10/2021 21:40,1000  BLOCK PEACH AVENUE,92021,EL CAJON,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),7/23/2021 13:15,1500  BLOCK STOW GROVE AVENUE,91913,CHULA VISTA,Miscellanoues
VANDALISM,EL CAJON,VANDALISM ($400 OR MORE) (F),5/12/2021 0:01,200  BLOCK EL CAJON BOULEVARD,92020,EL CAJON,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),8/14/2021 4:24,200 W  BLOCK ARBOR DRIVE,92103,SAN DIEGO,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),8/2/2021 7:05,4400  BLOCK BONITA ROAD,91902,CHULA VISTA,Miscellanoues
VANDALISM,NATIONAL CITY,VANDALISM ($400 OR MORE) (F),7/2/2021 22:30,900 E  BLOCK 07TH STREET,91950,NATIONAL CITY,Miscellanoues
VANDALISM,CHULA VISTA,TAMPER WITH VEH,8/11/2021 19:58,400 E  BLOCK H STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),8/11/2021 8:30,600  BLOCK F STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),8/12/2021 11:30,3000  BLOCK MAIN STREET,91911,CHULA VISTA,Miscellanoues
VANDALISM,OCEANSIDE,VANDALISM [$400 OR LESS] (M),8/20/2021 17:00,3400  BLOCK CAMEO DRIVE,92056,OCEANSIDE,Miscellanoues
FRAUD,SAN DIEGO,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),6/14/2021 14:00,8400  BLOCK BLUE LAKE DRIVE,92119,SAN DIEGO,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),7/27/2021 9:50,600  BLOCK SHEFFIELD COURT,91910,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),3/21/2021 14:30,200 E  BLOCK VIA RANCHO PARKWAY,92025,ESCONDIDO,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),5/31/2021 10:30,0 E  BLOCK FLOWER STREET,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),5/13/2021 10:22,1400  BLOCK LAUREL AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM [$400 OR LESS] (M),8/26/2021 1:04,4200  BLOCK GRESHAM STREET,92109,SAN DIEGO,Miscellanoues
VANDALISM,HARBOR POLICE,VANDALISM ($400 OR MORE) (F),8/24/2021 7:34,0  BLOCK MARKET PLACE,92101,SAN DIEGO,Miscellanoues
VANDALISM,HARBOR POLICE,VANDALISM [$400 OR LESS] (M),7/19/2021 6:00,1000  BLOCK LAGOON DRIVE,91909,,Miscellanoues
FRAUD,CARLSBAD,GET CREDIT/ETC OTHER'S ID (F),6/2/2021 0:01,1500  BLOCK MARITIME DRIVE,92011,CARLSBAD,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),6/30/2021 12:00,700  BLOCK MEDICAL CENTER COURT,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/14/2021 13:20,E STREET & WOODLAWN AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,SHERIFF,GET CREDIT/ETC OTHER'S ID (F),6/2/2021 8:00,11100  BLOCK PALA ROAD,92059,PALA,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),7/11/2021 12:00,3500  BLOCK DESERT INN WAY,91902,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),4/2/2021 14:05,E STREET & GUAVA AVENUE,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),4/29/2021 12:00,BIRCH ROAD & EASTLAKE PARKWAY,91915,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/6/2021 8:30,1200  BLOCK TRAPANI COVE,91915,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),6/12/2021 22:00,4300  BLOCK CONVOY STREET,92111,SAN DIEGO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),6/8/2021 23:00,DIAMOND COURT & E NAPLES STREET,91911,CHULA VISTA,Miscellanoues
VANDALISM,OCEANSIDE,VANDALISM ($400 OR MORE) (F),5/20/2021 6:45,600 N  BLOCK NEVADA STREET,92054,OCEANSIDE,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),3/15/2021 6:48,600  BLOCK ARBORCREEK LANE,91902,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/21/2021 20:30,0 N  BLOCK 04TH AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),5/13/2021 10:00,1300  BLOCK SANTA CRUZ COURT,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,COMMIT MAIL THEFT (M),5/30/2021 1:00,300  BLOCK BROADWAY,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,FRAUDULENT POSSESS/USE SCANNING DEVICE (M),7/29/2021 21:24,0  BLOCK THIRD AVENUE,91910,,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),5/7/2021 12:00,800  BLOCK CALLE LAGASCA,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/17/2021 17:00,1200  BLOCK MEDICAL CENTER DRIVE,91911,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),4/19/2021 12:00,1700  BLOCK SOUTH POINT DRIVE,91902,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,USE ACCESS CARD ACCOUNT INFO W/O CONSENT (F),4/27/2021 12:00,1700  BLOCK CELSIA WAY,91915,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM [$400 OR LESS] (M),6/11/2021 20:28,2200  BLOCK BARNEY STREET,92139,SAN DIEGO,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),6/13/2021 20:53,3800  BLOCK CALLE FORTUNADA,92123,SAN DIEGO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),6/12/2021 8:20,2100  BLOCK CORTE VISTA,91915,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),8/12/2021 17:00,2149 & PAN AMERICAN PLAZA,92101,,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),8/12/2021 18:15,2000  BLOCK PAN AMERICAN PLAZA,92101,SAN DIEGO,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),7/21/2021 10:30,100  BLOCK MANKATO STREET,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),5/21/2021 17:00,1600  BLOCK IRWIN STREET,91913,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),4/20/2021 12:00,600  BLOCK OVERLOOK PLACE,91914,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),6/6/2021 15:42,0  BLOCK BROADWAY,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/20/2021 15:00,100 E  BLOCK MILLAN STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/10/2021 21:00,2000  BLOCK LAKERIDGE CIRCLE,91913,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),7/6/2021 9:30,800  BLOCK MIDDLE FORK PLACE,91914,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),7/3/2021 11:00,1200  BLOCK 02ND AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),4/21/2021 15:30,1600  BLOCK ALBANY AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/10/2021 1:00,G STREET & QUAY AVENUE,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/10/2021 14:00,600  BLOCK F STREET,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),5/12/2021 12:00,1400  BLOCK 02ND AVENUE,91911,CHULA VISTA,Miscellanoues
FRAUD,OCEANSIDE,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),6/10/2021 15:40,3500  BLOCK PASEO DE LOS AMERICANOS,92056,OCEANSIDE,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/27/2021 5:10,2600  BLOCK MAIN STREET,91911,CHULA VISTA,Miscellanoues
FRAUD,CORONADO,ID Theft intent to defraud,6/10/2021 14:35,800  BLOCK 02ND STREET,92118,CORONADO,Miscellanoues
FRAUD,LA MESA,GET CREDIT/ETC OTHER'S ID (F),6/3/2021 0:01,5500  BLOCK GROSSMONT CENTER DRIVE,91942,LA MESA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/10/2021 14:30,1300  BLOCK EASTLAKE PARKWAY,91915,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),6/17/2021 16:00,400  BLOCK ORANGE AVENUE,91911,CHULA VISTA,Miscellanoues
FRAUD,LA MESA,GET CREDIT/ETC OTHER'S ID (F),7/18/2021 8:01,8500  BLOCK LA MESA BOULEVARD,91942,LA MESA,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),6/12/2021 12:00,100  BLOCK GARRETT AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),3/21/2021 14:30,200 E  BLOCK VIA RANCHO PARKWAY,92025,ESCONDIDO,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),4/29/2021 11:49,1500  BLOCK HILLSBOROUGH STREET,91913,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM [$400 OR LESS] (M),4/12/2021 19:00,900  BLOCK 25TH STREET,92102,SAN DIEGO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALIZE PLACE OF WORSHIP (F),3/13/2021 0:46,200  BLOCK H STREET,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,IMPERSONATE WITHOUT CONSENT:HARM/DEFRAUD/ETC:INTERNET WEBSITE (M),8/7/2021 8:00,1800  BLOCK ROUGE DRIVE,91913,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),8/8/2021 15:00,GIVENS STREET & PASEO LADERA,91911,CHULA VISTA,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),4/18/2021 22:30,3600  BLOCK LOGWOOD PLACE,92028,FALLBROOK,Miscellanoues
VANDALISM,CORONADO,Misd: Deface W/Paint/Etc,4/21/2021 0:00,1000  BLOCK 01ST STREET,92118,CORONADO,Miscellanoues
FRAUD,SAN DIEGO,GET CREDIT/ETC OTHER'S ID (F),5/19/2021 8:00,1400  BLOCK ORO VISTA ROAD,92154,SOUTH BAY,Miscellanoues
FRAUD,SAN DIEGO,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),6/16/2021 17:30,3800  BLOCK PELL PLACE,92130,SAN DIEGO,Miscellanoues
FRAUD,SAN DIEGO,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),6/15/2021 16:30,3900  BLOCK CONVOY STREET,92111,SAN DIEGO,Miscellanoues
FRAUD,CORONADO,Misd: ID Theft to obtain credit etc,6/25/2021 14:20,1700  BLOCK AVENIDA DEL MUNDO,92118,CORONADO,Miscellanoues
VANDALISM,CORONADO,Misd: Deface W/Paint/Etc,6/18/2021 7:11,2000  BLOCK MULLINIX DRIVE,92118,CORONADO,Miscellanoues
FRAUD,ESCONDIDO,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),4/19/2021 11:00,1700  BLOCK HAROLD ROAD,92026,ESCONDIDO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),4/11/2021 13:34,300  BLOCK 03RD AVENUE,91910,CHULA VISTA,Miscellanoues
VANDALISM,OCEANSIDE,VANDALISM [$400 OR LESS] (M),4/2/2021 23:39,300  BLOCK MISSION AVENUE,92054,OCEANSIDE,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),3/23/2021 10:00,400  BLOCK H STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),6/15/2021 23:30,1100  BLOCK BLUESAGE DRIVE,92078,SAN MARCOS UNIN,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/18/2021 15:30,1200  BLOCK INDUSTRIAL BOULEVARD,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),4/8/2021 20:50,1000  BLOCK BROADWAY,91911,CHULA VISTA,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),4/16/2021 23:19,1600  BLOCK PACIFIC HIGHWAY,92101,SAN DIEGO,Miscellanoues
FRAUD,NATIONAL CITY,DEFRAUDING AN INNKEEPER [$950 OR LESS] (M),4/11/2021 13:45,1900  BLOCK SWEETWATER ROAD,91950,NATIONAL CITY,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/25/2021 15:58,300  BLOCK MONTGOMERY STREET,91911,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),6/8/2021 12:00,1500  BLOCK TAMPA COURT,91902,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),4/26/2021 12:00,200  BLOCK BONITA GLEN DRIVE,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),7/23/2021 9:45,900  BLOCK CEDAR AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),7/20/2021 23:10,700  BLOCK 03RD AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),4/27/2021 22:04,2200  BLOCK ANTONIO DRIVE,91915,CHULA VISTA,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),3/12/2021 20:00,7900  BLOCK OSTROW STREET,92111,SAN DIEGO,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),3/12/2021 21:00,3400  BLOCK REYNARD WAY,92103,SAN DIEGO,Miscellanoues
FRAUD,CHULA VISTA,PERSONATE TO MAKE OTHER LIABLE (F),8/13/2021 10:00,EASTLAKE PARKWAY & TRINIDAD COVE,91915,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/5/2021 10:45,0 E  BLOCK FLOWER STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),3/16/2021 1:45,600  BLOCK G STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),4/5/2021 22:15,700  BLOCK OTAY LAKES ROAD,91913,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),7/12/2021 12:00,1400  BLOCK RIDGEBACK ROAD,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),3/23/2021 12:00,1400  BLOCK SILVER SPRINGS DRIVE,91915,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,PERSONATE TO MAKE OTHER LIABLE (F),4/23/2021 1:10,1000 S  BLOCK ESCONDIDO BOULEVARD,92025,ESCONDIDO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),4/20/2021 21:00,300  BLOCK ZENITH STREET,91911,CHULA VISTA,Miscellanoues
VANDALISM,NATIONAL CITY,VANDALISM [$400 OR LESS] (M),6/16/2021 18:00,2300  BLOCK I AVENUE,91950,NATIONAL CITY,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),7/18/2021 21:30,600  BLOCK BRIGHTWOOD AVENUE,91910,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),4/29/2021 12:50,800  BLOCK HARDING STREET,92027,ESCONDIDO,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),4/11/2021 12:15,1000 W  BLOCK EL NORTE PARKWAY,92026,ESCONDIDO,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),4/14/2021 14:30,2100  BLOCK AUTO PARK WAY,92029,ESCONDIDO,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),4/1/2021 20:30,12600  BLOCK STOUTWOOD STREET,92064,POWAY,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/30/2021 15:28,700  BLOCK H STREET,91910,CHULA VISTA,Miscellanoues
FRAUD,CHULA VISTA,GET CREDIT/ETC OTHER'S ID (F),8/9/2021 0:01,200  BLOCK MONTGOMERY STREET,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),8/14/2021 17:00,1000  BLOCK 04TH AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,SHERIFF,VANDALISM ($400 OR MORE) (F),3/12/2021 18:00,2300  BLOCK ALPINE BOULEVARD,91901,ALPINE,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),3/23/2021 22:00,MAGDALENA AVENUE & E PALOMAR STREET,91913,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),7/11/2021 5:00,1600  BLOCK BRANDYWINE AVENUE,91911,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM [$400 OR LESS] (M),7/12/2021 11:30,300  BLOCK NAPLES STREET,91911,CHULA VISTA,Miscellanoues
FRAUD,ESCONDIDO,GET CREDIT/ETC OTHER'S ID (F),4/6/2021 10:12,100 E  BLOCK MISSION AVENUE,92025,ESCONDIDO,Miscellanoues
VANDALISM,NATIONAL CITY,VANDALISM ($400 OR MORE) (F),4/1/2021 11:50,1100  BLOCK PLAZA BOULEVARD,91950,NATIONAL CITY,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM [$400 OR LESS] (M),8/23/2021 5:00,300  BLOCK 17TH STREET,92101,SAN DIEGO,Miscellanoues
FRAUD,SAN DIEGO,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),8/24/2021 5:04,10800  BLOCK POBLADO ROAD,92127,SAN DIEGO,Miscellanoues
VANDALISM,SAN DIEGO,VANDALISM ($400 OR MORE) (F),8/16/2021 3:00,4000  BLOCK 42ND STREET,92105,SAN DIEGO,Miscellanoues
FRAUD,SAN DIEGO,PERSONATE TO GET MONEY/PROP [OVER $400] (F),4/20/2021 8:00,200  BLOCK JUNIPER STREET,92101,SAN DIEGO,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/10/2021 14:40,0 E  BLOCK FLOWER STREET,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),5/11/2021 21:00,0  BLOCK BRISBANE ROAD,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),4/12/2021 15:00,600  BLOCK 02ND AVENUE,91910,CHULA VISTA,Miscellanoues
VANDALISM,CHULA VISTA,VANDALISM ($400 OR MORE) (F),6/14/2021 22:00,2400  BLOCK LA COSTA AVENUE,91915,CHULA VISTA,Miscellanoues
VANDALISM,ESCONDIDO,VANDALISM ($400 OR MORE) (F),4/18/2021 22:30,1100 W  BLOCK WASHINGTON AVENUE,92025,ESCONDIDO,Miscellanoues
VANDALISM,NATIONAL CITY,VANDALISM [$400 OR LESS] (M),4/8/2021 15:00,1400 E  BLOCK 01ST STREET,91950,NATIONAL CITY,Miscellanoues
