crime,agency,charge_description,date,address,zipcode,city,type
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/10/2021 12:30,300  BLOCK C STREET,91910,CHULA VISTA,Theft
WEAPONS,EL CAJON,CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F),3/8/2021 21:24,700  BLOCK AVOCADO AVENUE,92020,EL CAJON,Violent
SEX CRIMES,CHULA VISTA,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/7/2021 15:15,700  BLOCK E STREET,91910,CHULA VISTA,Violent
SEX CRIMES,CHULA VISTA,SEXUAL BATTERY (M),7/18/2021 12:50,1500  BLOCK APACHE DRIVE,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),5/13/2021 22:00,1300  BLOCK SANTA DIANA ROAD,91913,CHULA VISTA,Theft
BURGLARY,CARLSBAD,BURGLARY (RESIDENTIAL) (F),3/25/2021 17:00,7900  BLOCK CALLE POSADA,92009,CARLSBAD,Theft
WEAPONS,NATIONAL CITY,POSS FIREARM W/ALTERED IDENT (F),4/18/2021 4:04,600  BLOCK ROOSEVELT AVENUE,91950,NATIONAL CITY,Violent
WEAPONS,SHERIFF,MANUFACTURE/SALE/POSSESS/ETC BELT BUCKLE KNIFE (F),4/28/2021 16:38,300 W  BLOCK SAN MARCOS BOULEVARD,92069,SAN MARCOS,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),3/25/2021 20:07,11700  BLOCK CAMINITO CORRIENTE,92128,SAN DIEGO,Theft
WEAPONS,SHERIFF,MFG/IMPORT/ETC SHORT BARRELED RIFLE (F),3/28/2021 17:06,TAVERN ROAD & WB INTERSTATE,91901,ALPINE,Violent
SEX CRIMES,CHULA VISTA,TRANSIENT FAILS TO REGISTER WHEN RELEASED FROM CUSTODY (F),5/11/2021 12:00,300  BLOCK 04TH AVENUE,91910,CHULA VISTA,Violent
SEX CRIMES,CHULA VISTA,CONTINUOUS SEXUAL ABUSE OF CHILD (F),4/30/2021 19:17,1100  BLOCK 05TH AVENUE,91911,CHULA VISTA,Violent
SEX CRIMES,CHULA VISTA,INDECENT EXPOSURE AFTER ILLEGAL ENTRY OCCUPIED DWELLING (F),7/20/2021 13:20,600  BLOCK E STREET,91910,CHULA VISTA,Violent
ARSON,CHULA VISTA,ARSON:PROP (F),3/25/2021 4:43,600  BLOCK E STREET,91910,CHULA VISTA,Violent
SEX CRIMES,SHERIFF,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),4/28/2021 12:00,8600  BLOCK FANITA DRIVE,92071,SANTEE,Violent
WEAPONS,SHERIFF,CARRY SWITCHBLADE KNIFE ON PERSON (M),4/28/2021 16:38,300 W  BLOCK SAN MARCOS BOULEVARD,92069,SAN MARCOS,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),6/4/2021 22:00,900  BLOCK MOANA DRIVE,92106,SAN DIEGO,Theft
WEAPONS,EL CAJON,CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F),5/2/2021 18:42,0  BLOCK 1549,,,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/25/2021 16:30,400  BLOCK OXFORD STREET,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),4/5/2021 6:00,3300  BLOCK ALVOCA STREET,91911,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/7/2021 16:40,700  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),5/26/2021 20:00,1000  BLOCK TIERRA DEL REY,91910,CHULA VISTA,Theft
SEX CRIMES,SAN DIEGO,LOITER:INTENT:PROSTITUTION (M),3/7/2021 13:57,3700  BLOCK DALBERGIA STREET,92113,SAN DIEGO,Violent
ARSON,CHULA VISTA,ARSON:PROP (F),4/26/2021 11:48,600  BLOCK PALOMAR STREET,91911,CHULA VISTA,Violent
WEAPONS,SAN DIEGO,CARRY LOADED FIREARM IN PUBLIC UNDER SPECIFIC CIRCUMSTANCES (F),6/6/2021 1:57,4400  BLOCK T STREET,92113,SAN DIEGO,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),6/10/2021 9:16,3400  BLOCK MAIN STREET,91911,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,RAPE BY FORCE/FEAR (F),6/14/2021 22:00,200  BLOCK 03RD AVENUE,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),6/13/2021 17:00,1100  BLOCK WALNUT AVENUE,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/24/2021 20:59,700  BLOCK BROADWAY,91910,CHULA VISTA,Theft
HOMICIDE,CHULA VISTA,MURDER (F),3/11/2021 19:20,1300 S  BLOCK GREENSVIEW DRIVE,91915,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/24/2021 4:10,900  BLOCK PASEO DEL REY,91910,CHULA VISTA,Theft
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),7/2/2021 23:11,0  BLOCK ALPINE VILLAGE DRIVE,91901,ALPINE,Theft
