crime,agency,charge_description,date,address,zipcode,city,type
WEAPONS,ESCONDIDO,FELON/ADDICT/POSSESS/ETC FIREARM (F),5/14/2021 15:45,900 N  BLOCK QUINCE STREET,92025,ESCONDIDO,Violent
SEX CRIMES,CHULA VISTA,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),5/17/2021 12:11,400  BLOCK 03RD AVENUE,91910,CHULA VISTA,Violent
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),6/23/2021 20:00,8700  BLOCK JAMACHA BOULEVARD,91977,SPRING VALLEY,Theft
BURGLARY,CORONADO,Burglary:first Degree,3/25/2021 0:00,400  BLOCK 03RD STREET,92118,CORONADO,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),5/15/2021 15:00,500  BLOCK BROADWAY,91910,CHULA VISTA,Theft
SEX CRIMES,SHERIFF,ASSAULT W/INTENT TO COMMIT RAPE (F),5/15/2021 0:45,2500  BLOCK WASHINGTON STREET,92036,JULIAN,Violent
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),3/26/2021 15:00,3500  BLOCK MISSION AVENUE,92058,OCEANSIDE,Theft
WEAPONS,EL CAJON,CARRY CONCEALED WEAPON IN VEHICLE (F),3/24/2021 11:11,BROADWAY & GREENFIELD,92020,,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),4/13/2021 7:00,1200  BLOCK SILVER HAWK WAY,91915,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,SEXUAL BATTERY (F),8/5/2021 20:00,1500  BLOCK CALLE AVILA,91913,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/30/2021 11:45,1100 E  BLOCK J STREET,91910,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),8/9/2021 17:00,500  BLOCK MOSS STREET,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),8/8/2021 15:00,1200  BLOCK SANTA CORA AVENUE,91913,CHULA VISTA,Theft
SEX CRIMES,CORONADO,Rape:vict Incpbl Of Cnsnt,6/16/2021 13:34,900  BLOCK OCEAN BOULEVARD,92118,CORONADO,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/8/2021 19:00,500  BLOCK ARIZONA STREET,91911,CHULA VISTA,Theft
BURGLARY,LA MESA,BURGLARY (RESIDENTIAL) (F),5/20/2021 20:00,4700  BLOCK 70TH STREET,91942,LA MESA,Theft
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),5/11/2021 16:10,0  BLOCK ENCINITAS BOULEVARD,92024,ENCINITAS,Violent
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),5/11/2021 17:45,0  BLOCK ENCINITAS BOULEVARD,92024,ENCINITAS,Violent
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),5/11/2021 19:30,0  BLOCK ENCINITAS BOULEVARD,92024,ENCINITAS,Violent
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),5/9/2021 4:05,900  BLOCK EUCLID AVENUE,91950,NATIONAL CITY,Theft
SEX CRIMES,ESCONDIDO,SEXUAL BATTERY (M),4/12/2021 20:33,400  BLOCK ALIDADE GLEN,92025,ESCONDIDO,Violent
SEX CRIMES,CHULA VISTA,SEXUAL BATTERY (M),6/4/2021 18:40,700  BLOCK H STREET,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/4/2021 16:18,600  BLOCK I STREET,91910,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),7/17/2021 3:20,1000  BLOCK GUATAY AVENUE,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/27/2021 23:00,500  BLOCK ANITA STREET,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),3/20/2021 3:00,300  BLOCK 03RD AVENUE,91910,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,ORAL COPULATION W/ FORCE OR FEAR (F),6/27/2021 22:30,700  BLOCK E STREET,91910,CHULA VISTA,Violent
WEAPONS,EL CAJON,CARRY CONCEALED DIRK OR DAGGER (F),4/5/2021 7:43,300 W  BLOCK MAIN STREET,92020,EL CAJON,Violent
WEAPONS,EL CAJON,CARRY CONCEALED DIRK OR DAGGER (F),4/9/2021 14:29,1200 E  BLOCK MAIN STREET,92019,EL CAJON,Violent
SEX CRIMES,CHULA VISTA,DISORD CONDUCT:PEEK INTO INHABITED BUILDING (Peeping) (M),6/15/2021 6:55,400  BLOCK OAKLAWN AVENUE,91910,CHULA VISTA,Violent
BURGLARY,CORONADO,Burglary:first Degree,4/24/2021 14:44,300  BLOCK D AVENUE,92118,CORONADO,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),5/1/2021 12:00,2200  BLOCK OTAY LAKES ROAD,91915,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),3/22/2021 1:10,2400  BLOCK MAIN STREET,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),4/3/2021 13:35,400  BLOCK TANBARK STREET,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),4/19/2021 7:16,1100  BLOCK BAY BOULEVARD,91911,CHULA VISTA,Theft
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),5/30/2021 14:30,5000  BLOCK WATERVIEW WAY,92057,OCEANSIDE,Theft
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),7/27/2021 13:00,3600  BLOCK AVOCADO BOULEVARD,91941,LA MESA UNINC,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),8/11/2021 23:50,0  BLOCK COUNTRY CLUB CIRCLE,91911,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,SEXUAL BATTERY (M),8/10/2021 11:00,700  BLOCK MEDICAL CENTER COURT,91911,CHULA VISTA,Violent
HOMICIDE,SHERIFF,MURDER (F),8/15/2021 7:36,1100  BLOCK VIA VERA CRUZ,92078,SAN MARCOS,Violent
SEX CRIMES,CHULA VISTA,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/7/2021 16:11,600  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/2/2021 23:59,0  BLOCK BONITA ROAD,91910,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),4/2/2021 19:20,100 N  BLOCK 02ND AVENUE,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),5/17/2021 20:30,500  BLOCK E STREET,91910,CHULA VISTA,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/25/2021 6:52,3800  BLOCK SHASTA STREET,92109,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/25/2021 22:30,1300  BLOCK HORNBLEND STREET,92109,SAN DIEGO,Theft
BURGLARY,NATIONAL CITY,BURGLARY (RESIDENTIAL) (F),4/1/2021 0:01,100 N  BLOCK U AVENUE,91950,NATIONAL CITY,Theft
SEX CRIMES,ESCONDIDO,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),5/15/2021 16:47,200 E  BLOCK VIA RANCHO PARKWAY,92025,ESCONDIDO,Violent
SEX CRIMES,CHULA VISTA,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/7/2021 13:15,700  BLOCK E STREET,91910,CHULA VISTA,Violent
SEX CRIMES,CHULA VISTA,UNLAWFUL SEXUAL INTERCOURSE W/MINOR:3 YRS OLDER OR YOUNGER (M),5/25/2021 15:05,800  BLOCK 04TH AVENUE,91911,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/3/2021 4:15,100  BLOCK BROADWAY,91910,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),7/12/2021 18:00,400  BLOCK OAKLAWN AVENUE,91910,CHULA VISTA,Theft
WEAPONS,EL CAJON,FELON/ADDICT/POSSESS/ETC FIREARM (F),3/23/2021 19:29,700  BLOCK CEDAR STREET,92021,EL CAJON,Violent
ARSON,CHULA VISTA,ARSON:PROP (F),6/2/2021 12:20,1400  BLOCK 03RD AVENUE,91911,CHULA VISTA,Violent
WEAPONS,ESCONDIDO,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),6/30/2021 23:16,800 N  BLOCK QUINCE STREET,92025,ESCONDIDO,Violent
SEX CRIMES,EL CAJON,SEXUAL BATTERY (M),3/16/2021 12:57,400 N  BLOCK 02ND STREET,92021,EL CAJON,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),5/16/2021 17:15,3400  BLOCK MAIN STREET,91911,CHULA VISTA,Theft
WEAPONS,SHERIFF,MINOR ILLEGALLY POSSESS LIVE AMMUNITION (F),4/29/2021 15:54,1600  BLOCK RUE DE VALLE,92078,SAN MARCOS,Violent
BURGLARY,EL CAJON,BURGLARY (COMMERCIAL) (F),5/1/2021 4:49,2400  BLOCK FLETCHER PARKWAY,92020,EL CAJON,Theft
SEX CRIMES,CHULA VISTA,SEXUAL BATTERY (M),7/25/2021 0:20,200  BLOCK 03RD AVENUE,91910,CHULA VISTA,Violent
ARSON,CHULA VISTA,ARSON:PROP (F),5/25/2021 7:00,1800  BLOCK OLIVE GREEN STREET,91913,CHULA VISTA,Violent
WEAPONS,ESCONDIDO,FELON/ADDICT/POSSESS/ETC FIREARM (F),6/30/2021 17:08,1200 S  BLOCK ORANGE STREET,92025,ESCONDIDO,Violent
SEX CRIMES,SAN DIEGO,ORAL COPULATION:VIC INTOXICATED (F),6/13/2021 2:00,05TH AVENUE & MARKET STREET,92101,SAN DIEGO,Violent
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),8/6/2021 17:00,2000  BLOCK POPLAR ROAD,92058,OCEANSIDE,Theft
ARSON,CHULA VISTA,ARSON:PROP (F),5/21/2021 8:45,1800  BLOCK OLIVE GREEN STREET,91913,CHULA VISTA,Violent
WEAPONS,ESCONDIDO,FELON POSSESS/BUY/USE STUN GUN (M),7/17/2021 22:50,900 N  BLOCK QUINCE STREET,92025,ESCONDIDO,Violent
BURGLARY,HARBOR POLICE,BURGLARY (COMMERCIAL) (F),8/6/2021 16:00,5000  BLOCK NORTH HARBOR DRIVE,92106,SAN DIEGO,Theft
ARSON,CHULA VISTA,ARSON:PROP (F),8/8/2021 14:52,600  BLOCK H STREET,91910,CHULA VISTA,Violent
WEAPONS,SAN DIEGO,CARRY CONCEALED DIRK OR DAGGER (F),8/27/2021 17:59,1200  BLOCK IMPERIAL AVENUE,92101,SAN DIEGO,Violent
WEAPONS,SAN DIEGO,FELON/ADDICT/POSSESS/ETC FIREARM (F),8/27/2021 18:37,6800  BLOCK BALBOA AVENUE,92117,SAN DIEGO,Violent
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),4/18/2021 0:20,100  BLOCK WOODWARD AVENUE,92025,ESCONDIDO,Theft
WEAPONS,ESCONDIDO,HAVE FIREARM AT PUBLIC SCHOOL (F),5/14/2021 22:06,900  BLOCK LEHNER AVENUE,92026,ESCONDIDO,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/20/2021 2:00,0 E  BLOCK FLOWER STREET,91910,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,DISORD CONDUCT:PEEK INTO INHABITED BUILDING (Peeping) (M),6/18/2021 20:45,500  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),5/13/2021 14:10,4700  BLOCK NORTH RIVER ROAD,92057,OCEANSIDE,Theft
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),5/10/2021 3:42,600  BLOCK SUPERIOR STREET,92029,ESCONDIDO,Theft
SEX CRIMES,CHULA VISTA,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/7/2021 14:00,600  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,LA MESA,BURGLARY (COMMERCIAL) (F),6/26/2021 20:00,7400  BLOCK UNIVERSITY AVENUE,91942,LA MESA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/1/2021 4:34,600  BLOCK H STREET,91910,CHULA VISTA,Theft
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),8/22/2021 14:08,200 S  BLOCK PACIFIC STREET,92078,SAN MARCOS,Theft
WEAPONS,SAN DIEGO,CARRY CONCEALED WEAPON IN VEHICLE (F),8/29/2021 3:00,4400  BLOCK LOGAN AVENUE,92113,SAN DIEGO,Violent
SEX CRIMES,CHULA VISTA,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),7/7/2021 16:44,700  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/12/2021 18:45,700  BLOCK BROADWAY,91910,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,SEXUAL BATTERY (M),7/14/2021 12:20,1400  BLOCK 03RD AVENUE,91911,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/5/2021 12:00,400  BLOCK C STREET,91910,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),7/26/2021 4:20,300  BLOCK SURREY DRIVE,91902,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),4/23/2021 12:00,300  BLOCK TROUSDALE DRIVE,91910,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),8/11/2021 6:00,1500  BLOCK MENDOCINO DRIVE,91911,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,RAPE BY FORCE/FEAR (F),4/24/2021 11:53,200  BLOCK WOODLAWN AVENUE,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),5/17/2021 21:26,300  BLOCK K STREET,91911,CHULA VISTA,Theft
BURGLARY,CORONADO,Burglary:second Degree,6/18/2021 10:38,600  BLOCK ORANGE AVENUE,92118,CORONADO,Theft
WEAPONS,SAN DIEGO,MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE (F),6/10/2021 21:16,3500  BLOCK SPORTS ARENA BOULEVARD,92110,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),4/7/2021 4:14,9000  BLOCK KENAMAR DRIVE,92121,SAN DIEGO,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),4/11/2021 18:49,3700  BLOCK MAIN STREET,91911,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/11/2021 10:17,1100 E  BLOCK J STREET,91910,CHULA VISTA,Theft
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),6/16/2021 7:00,1100  BLOCK ALTURAS ROAD,92028,FALLBROOK,Theft
SEX CRIMES,SAN DIEGO,SEXUAL BATTERY (M),7/20/2021 13:04,PACIFIC HIGHWAY & TAYLOR STREET,92110,SAN DIEGO,Violent
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),7/17/2021 14:00,5400  BLOCK RAINBOW CREEK ROAD,92028,FALLBROOK,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),6/19/2021 4:40,800  BLOCK BROADWAY,91911,CHULA VISTA,Theft
WEAPONS,SAN DIEGO,UNLAWFUL POSSESS/USE TEAR GAS OR TEAR GAS WEAPON:EX FEL/ETC (M),6/20/2021 11:45,7700  BLOCK HAZARD CENTER DRIVE,92108,SAN DIEGO,Violent
WEAPONS,CHULA VISTA,ALTER/REMOVE/ETC IDENTIFICATION MARKS ON FIREARM (F),4/5/2021 17:40,0 S  BLOCK I-5 OF J ST EXIT,91911,,Violent
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),8/15/2021 11:00,400  BLOCK SANDALWOOD COURT,92024,ENCINITAS,Theft
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),8/14/2021 5:36,600  BLOCK EDGEWATER DRIVE,92078,SAN MARCOS,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),8/6/2021 19:00,STRATA STREET & VESTA DRIVE,91915,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),5/15/2021 15:00,700  BLOCK OAKLAWN AVENUE,91910,CHULA VISTA,Violent
ARSON,CHULA VISTA,ARSON:PROP (F),4/13/2021 5:00,800  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),4/1/2021 20:45,1100  BLOCK 04TH AVENUE,91911,CHULA VISTA,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),4/3/2021 17:00,500  BLOCK MISSION AVENUE,92054,OCEANSIDE,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),4/17/2021 11:00,500  BLOCK CLAIRE AVENUE,91910,CHULA VISTA,Theft
WEAPONS,EL CAJON,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F),4/2/2021 22:30,300 N  BLOCK MAGNOLIA AVENUE,92020,EL CAJON,Violent
SEX CRIMES,CHULA VISTA,SEX OFFENDER FAIL UPDATE ANNUAL REGISTRATION (F),6/18/2021 12:00,300  BLOCK 04TH AVENUE,91910,CHULA VISTA,Violent
WEAPONS,SHERIFF,CARRY CONCEALED DIRK OR DAGGER (F),3/28/2021 1:10,1900  BLOCK BUENA CREEK ROAD,92084,VISTA UNINC,Violent
WEAPONS,EL CAJON,CARRY CONCEALED DIRK OR DAGGER (F),4/19/2021 23:55,500  BLOCK MONTROSE COURT,92020,EL CAJON,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),3/15/2021 3:30,1500  BLOCK SONORA DRIVE,91911,CHULA VISTA,Theft
WEAPONS,EL CAJON,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F),4/20/2021 0:08,500  BLOCK MONTROSE COURT,92020,EL CAJON,Violent
WEAPONS,ESCONDIDO,CARRY CONCEALED DIRK OR DAGGER (F),5/11/2021 21:16,200 N  BLOCK ESCONDIDO BOULEVARD,92025,ESCONDIDO,Violent
SEX CRIMES,SHERIFF,RAPE BY FORCE/FEAR (F),6/12/2021 22:30,2700  BLOCK WASHINGTON STREET,91945,LEMON GROVE,Violent
WEAPONS,EL CAJON,CARRY CONCEALED DIRK OR DAGGER (F),4/20/2021 23:56,500 N  BLOCK MAGNOLIA AVENUE,92020,EL CAJON,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/26/2021 22:30,400  BLOCK BROADWAY,91910,CHULA VISTA,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/25/2021 12:45,800  BLOCK WOODLAWN AVENUE,91911,CHULA VISTA,Theft
SEX CRIMES,CHULA VISTA,INDECENT EXPOSURE (M),8/16/2021 16:32,400  BLOCK BROADWAY,91910,CHULA VISTA,Violent
SEX CRIMES,CHULA VISTA,LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14 W/FORCE/ETC (F),7/1/2021 0:01,800  BLOCK ENTRADA PLACE,91910,CHULA VISTA,Violent
SEX CRIMES,CHULA VISTA,HARMFUL MATTER:EMAIL/INTERNET:INTENT:SEDUCE MINOR (F),7/8/2021 17:00,1200  BLOCK CUYAMACA AVENUE,91911,CHULA VISTA,Violent
SEX CRIMES,ESCONDIDO,DISORD CONDUCT:SOLICIT LEWD ACT (M),4/1/2021 13:30,200 W  BLOCK MISSION AVENUE,92025,ESCONDIDO,Violent
WEAPONS,ESCONDIDO,ILLEGALLY POSSESS ANY ASSAULT WEAPON (F),5/8/2021 7:21,900 N  BLOCK QUINCE STREET,92025,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 22:00,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
WEAPONS,ESCONDIDO,NARCOTIC ADDICT POSSESS/PURCHASE/USE/ETC TEARGAS/TEARGAS (M),5/6/2021 3:40,800 W  BLOCK GRAND AVENUE,92025,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER 11D (F),4/19/2021 9:38,800 W  BLOCK LINCOLN AVENUE,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORD CONDUCT:PEEK INTO INHABITED BUILDING (Peeping) (M),4/18/2021 19:30,1800 E  BLOCK GRAND AVENUE,92027,ESCONDIDO,Violent
BURGLARY,ESCONDIDO,BURGLARY (RESIDENTIAL) (F),4/12/2021 7:00,800  BLOCK STRAWBERRY GLEN,92025,ESCONDIDO,Theft
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),4/19/2021 17:00,100 S  BLOCK JUNIPER STREET,92025,ESCONDIDO,Theft
SEX CRIMES,CHULA VISTA,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/7/2021 14:40,700  BLOCK E STREET,91910,CHULA VISTA,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),3/15/2021 5:30,400  BLOCK OXFORD STREET,91911,CHULA VISTA,Theft
