longitude,latitude,zipcode
-116.701,34.851,92325
-115.967,34.84,92326
-116.77,34.9,92327
-117.145,36.236,92328
-115.967,34.84,92329
-115.577,34.588,92332
-116.952,34.258,92333
-115.967,34.84,92334
-114.301,34.16,92335
-116.247,34.122,92336
-115.967,34.84,92337
-115.803,34.933,92338
-116.912,34.133,92339
-115.967,34.84,92340
-116.939,34.241,92341
-116.378,34.497,92342
-115.967,34.84,92345
-117.14,34.157,92346
-116.192,35.013,92347
-115.967,34.84,92350
-117.129,34.209,92352
-115.967,34.84,92354
-116.206,34.77,92356
-115.967,34.84,92357
-115.967,34.84,92358
-115.97,34.47,92359
-115.559,34.642,92363
-115.628,35.337,92364
-115.933,34.905,92365
-115.967,34.84,92366
-115.967,34.84,92368
-115.967,34.84,92369
-115.967,34.84,92371
-116.855,34.237,92372
-116.889,34.241,92373
-116.898,34.154,92374
-115.967,34.84,92375
-115.567,34.202,92376
-116.983,34.142,92377
-115.967,34.84,92378
-117.111,34.21,92382
-116.271,35.978,92384
-115.967,34.84,92385
-116.819,34.247,92386
-117.219,36.626,92389
-115.967,34.84,92391
-114.755,34.492,92392
-115.967,34.84,92393
-115.172,34.527,92394
-115.967,34.84,92397
-116.709,34.927,92398
-116.971,34.062,92399
-115.967,34.84,92401
-117.127,34.214,92402
-115.967,34.84,92403
-116.709,34.159,92404
-116.228,34.135,92405
-115.967,34.84,92406
-116.937,34.271,92407
-115.967,34.84,92408
-116.48,34.096,92410
-115.967,34.84,92411
-115.967,34.84,92412
-115.967,34.84,92413
-115.967,34.84,92414
-115.967,34.84,92415
-115.967,34.84,92416
-115.967,34.84,92418
-115.967,34.84,92420
-115.967,34.84,92423
-115.967,34.84,92424
-116.862,34.262,92427
-116.056,33.753,92501
-116.056,33.753,92502
-116.056,33.753,92503
-116.056,33.753,92504
-116.056,33.753,92505
-116.056,33.753,92506
-116.056,33.753,92507
-116.056,33.753,92508
-116.056,33.753,92509
-116.056,33.753,92513
-116.056,33.753,92514
-116.056,33.753,92515
-116.056,33.753,92516
-116.056,33.753,92517
-116.056,33.753,92518
-116.056,33.753,92519
-116.056,33.753,92521
-116.056,33.753,92522
